"rid","abbr","iid","val","val_norm"
480,"RO",20,2.38,NULL
481,"SI",1,6,NULL
482,"SI",2,38,NULL
483,"SI",3,29,NULL
484,"SI",4,23,NULL
485,"SI",5,84,NULL
486,"SI",6,26,NULL
487,"SI",7,14,NULL
488,"SI",8,15,NULL
489,"SI",9,31,NULL
490,"SI",10,24,NULL
496,"SI",16,41.42,NULL
497,"SI",17,16.1,NULL
498,"SI",18,64.77,NULL
499,"SI",19,33.95,NULL
500,"SI",20,14.1,NULL
501,"SK",1,5,NULL
502,"SK",2,25,NULL
503,"SK",3,20,NULL
504,"SK",4,15,NULL
505,"SK",5,89,NULL
506,"SK",6,16,NULL
507,"SK",7,8,NULL
508,"SK",8,14,NULL
509,"SK",9,34,NULL
510,"SK",10,14,NULL
516,"SK",16,34.42,NULL
517,"SK",17,5.98,NULL
518,"SK",18,51.39,NULL
519,"SK",19,19.57,NULL
520,"SK",20,11.69,NULL
521,"FI",1,21,NULL
522,"FI",2,75,NULL
523,"FI",3,49,NULL
524,"FI",4,45,NULL
525,"FI",5,97,NULL
526,"FI",6,28,NULL
527,"FI",7,NULL,NULL
528,"FI",8,26,NULL
529,"FI",9,67,NULL
530,"FI",10,36,NULL
536,"FI",16,42.25,NULL
537,"FI",17,8.89,NULL
538,"FI",18,32.65,NULL
539,"FI",19,62.86,NULL
540,"FI",20,15.45,NULL
541,"SE",1,18,NULL
542,"SE",2,69,NULL
543,"SE",3,47,NULL
544,"SE",4,47,NULL
545,"SE",5,94,NULL
546,"SE",6,35,NULL
547,"SE",7,19,NULL
548,"SE",8,19,NULL
549,"SE",9,60,NULL
550,"SE",10,31,NULL
556,"SE",16,50.94,NULL
557,"SE",17,7.25,NULL
558,"SE",18,28.68,NULL
559,"SE",19,62.63,NULL
560,"SE",20,12.62,NULL
561,"EU27_2020",21,15.9,NULL
562,"BE",21,7.18,NULL
563,"BG",21,18.81,NULL
564,"CZ",21,13.36,NULL
565,"DK",21,11.78,NULL
566,"DE",21,13.33,NULL
567,"EE",21,14.8,NULL
568,"IE",21,23.71,NULL
569,"EL",21,27.67,NULL
570,"ES",21,19.47,NULL
571,"FR",21,9.78,NULL
572,"HR",21,14.36,NULL
573,"IT",21,15.25,NULL
574,"CY",21,7.91,NULL
575,"LV",21,12.95,NULL
576,"LT",21,17.99,NULL
577,"LU",21,14.04,NULL
578,"HU",21,20.13,NULL
579,"MT",21,22.13,NULL
580,"NL",21,23.08,NULL
581,"AT",21,8.58,NULL
582,"PL",21,19.51,NULL
583,"PT",21,21.77,NULL
584,"RO",21,5.7,NULL
585,"SI",21,16.81,NULL
586,"SK",21,15.18,NULL
587,"FI",21,21.05,NULL
588,"SE",21,16.62,NULL
617,"EU27_2020",11,43.2,NULL
618,"EU27_2020",12,47,NULL
619,"EU27_2020",13,38.227,NULL
620,"EU27_2020",15,32,NULL
621,"BE",11,50,NULL
622,"BE",12,38,NULL
623,"BE",13,35.537,NULL
624,"BE",15,35,NULL
625,"BG",11,19.4,NULL
626,"BG",12,19,NULL
627,"BG",13,39.777,NULL
628,"BG",15,23,NULL
629,"CZ",11,38.2,NULL
630,"CZ",12,45,NULL
631,"CZ",13,46.647,NULL
632,"CZ",15,19,NULL
633,"DK",11,26.2,NULL
634,"DK",12,26,NULL
635,"DK",13,31.739,NULL
636,"DK",15,37,NULL
637,"DE",11,46.2,NULL
638,"DE",12,50,NULL
639,"DE",13,40.128,NULL
640,"DE",15,30,NULL
641,"EE",11,30,NULL
642,"EE",12,27,NULL
643,"EE",13,45.437,NULL
644,"EE",15,27,NULL
645,"IE",11,25.8,NULL
646,"IE",12,52,NULL
647,"IE",13,21.875,NULL
648,"IE",15,29,NULL
649,"EL",11,37.8,NULL
650,"EL",12,47,NULL
651,"EL",13,53.956,NULL
652,"EL",15,37,NULL
653,"ES",11,60.6,NULL
654,"ES",12,76,NULL
655,"ES",13,47.348,NULL
656,"ES",15,33,NULL
657,"FR",11,30,NULL
658,"FR",12,42,NULL
659,"FR",13,25.253,NULL
660,"FR",15,38,NULL
661,"HR",11,33.6,NULL
662,"HR",12,33,NULL
663,"HR",13,50.562,NULL
664,"HR",15,27,NULL
665,"IT",11,44.8,NULL
666,"IT",12,43,NULL
667,"IT",13,49.466,NULL
668,"IT",15,28,NULL
669,"CY",11,35.4,NULL
670,"CY",12,43,NULL
671,"CY",13,54.942,NULL
672,"CY",15,32,NULL
673,"LV",11,37,NULL
674,"LV",12,22,NULL
675,"LV",13,56.36,NULL
676,"LV",15,22,NULL
677,"LT",11,42.2,NULL
678,"LT",12,15,NULL
679,"LT",13,49.388,NULL
680,"LT",15,31,NULL
681,"LU",11,43.4,NULL
682,"LU",12,52,NULL
683,"LU",13,NULL,NULL
684,"LU",15,41,NULL
685,"HU",11,45,NULL
686,"HU",12,35,NULL
687,"HU",13,41.881,NULL
688,"HU",15,21,NULL
689,"MT",11,39,NULL
690,"MT",12,41,NULL
691,"MT",13,25.933,NULL
692,"MT",15,29,NULL
693,"NL",11,47.8,NULL
694,"NL",12,53,NULL
695,"NL",13,38.984,NULL
696,"NL",15,45,NULL
697,"AT",11,46,NULL
698,"AT",12,47,NULL
699,"AT",13,26.342,NULL
700,"AT",15,44,NULL
701,"PL",11,38.2,NULL
702,"PL",12,32,NULL
703,"PL",13,28.846,NULL
704,"PL",15,25,NULL
705,"PT",11,28.4,NULL
706,"PT",12,50,NULL
707,"PT",13,51.295,NULL
708,"PT",15,27,NULL
709,"RO",11,48,NULL
710,"RO",12,40,NULL
711,"RO",13,41.218,NULL
712,"RO",15,24,NULL
713,"SI",11,34.8,NULL
714,"SI",12,36,NULL
715,"SI",13,51.698,NULL
716,"SI",15,37,NULL
717,"SK",11,56,NULL
718,"SK",12,53,NULL
719,"SK",13,48.102,NULL
720,"SK",15,41,NULL
721,"FI",11,40.6,NULL
722,"FI",12,41,NULL
723,"FI",13,41.185,NULL
724,"FI",15,41,NULL
725,"SE",11,59.2,NULL
726,"SE",12,67,NULL
727,"SE",13,30.139,NULL
728,"SE",15,43,NULL
785,"EU27_2020",14,74.1,NULL
786,"BE",14,83,NULL
787,"BG",14,57.8,NULL
788,"CZ",14,71.8,NULL
789,"DK",14,62.9,NULL
790,"DE",14,64,NULL
791,"EE",14,37.2,NULL
792,"IE",14,111.5,NULL
793,"EL",14,83.1,NULL
794,"ES",14,114.4,NULL
795,"FR",14,79.8,NULL
796,"HR",14,73.3,NULL
797,"IT",14,74.9,NULL
798,"CY",14,156.2,NULL
799,"LV",14,75.8,NULL
800,"LT",14,35.8,NULL
801,"LU",14,92.7,NULL
802,"HU",14,64.5,NULL
803,"MT",14,96.2,NULL
804,"NL",14,85.3,NULL
805,"AT",14,116.4,NULL
806,"PL",14,84.9,NULL
807,"PT",14,97.6,NULL
808,"RO",14,34.8,NULL
809,"SI",14,119.9,NULL
810,"SK",14,53,NULL
811,"FI",14,69.8,NULL
812,"SE",14,50.2,NULL
